mes_reporte,fecha_recoleccion,establecimiento_id,establecimiento,latitud,longitud,direccion,canal_informacion,clasificacion_comercio,estado_establecimiento,producto_id,clasificacion_producto,producto,presentacion_empaque,unidad_medida,cantidad_empaque,valor_empaque,valor_unitario,fuente_archivo
2026-02,2026-02-05,3b975a67-e807-4731-afbe-408cb55d6860,Mercafresc,4.611175,-74.2003216666667,Carrera 81 # 73g-03 sur,Campo,Tiendas de Barrio,Abierto - Atiende,b16475b6-93ce-451c-902e-fd1215b301a4,Fruta,Banano Criollo,,Kilogramo,,,3200.0,02 FEB_ Análisis Estadístico Informe de Monitoreo Precios Bogotá 2026.xlsx
2026-02,2026-02-05,3b975a67-e807-4731-afbe-408cb55d6860,Mercafresc,4.611175,-74.2003216666667,Carrera 81 # 73g-03 sur,Campo,Tiendas de Barrio,Abierto - Atiende,6068223f-02a9-44ea-bf95-b1012638de6b,Fruta,Tomate De Árbol,,Kilogramo,,,3000.0,02 FEB_ Análisis Estadístico Informe de Monitoreo Precios Bogotá 2026.xlsx
2026-02,2026-02-05,3b975a67-e807-4731-afbe-408cb55d6860,Mercafresc,4.611175,-74.2003216666667,Carrera 81 # 73g-03 sur,Campo,Tiendas de Barrio,Abierto - Atiende,0fba45dc-89a6-419a-ae65-491dd02ea08f,Fruta,Guayaba,,Kilogramo,,,4000.0,02 FEB_ Análisis Estadístico Informe de Monitoreo Precios Bogotá 2026.xlsx
2026-02,2026-02-05,3b975a67-e807-4731-afbe-408cb55d6860,Mercafresc,4.611175,-74.2003216666667,Carrera 81 # 73g-03 sur,Campo,Tiendas de Barrio,Abierto - Atiende,a7cf536d-4937-4ea7-9413-23caad93b141,Fruta,Limón Tahití,,Kilogramo,,,3000.0,02 FEB_ Análisis Estadístico Informe de Monitoreo Precios Bogotá 2026.xlsx
2026-02,2026-02-05,3b975a67-e807-4731-afbe-408cb55d6860,Mercafresc,4.611175,-74.2003216666667,Carrera 81 # 73g-03 sur,Campo,Tiendas de Barrio,Abierto - Atiende,b77b2225-7505-4df0-9dcd-040aad608b76,Fruta,Mora,,Kilogramo,,,6000.0,02 FEB_ Análisis Estadístico Informe de Monitoreo Precios Bogotá 2026.xlsx
2026-02,2026-02-05,3b975a67-e807-4731-afbe-408cb55d6860,Mercafresc,4.611175,-74.2003216666667,Carrera 81 # 73g-03 sur,Campo,Tiendas de Barrio,Abierto - Atiende,a5ee4c31-b3f6-4ddd-8610-e6f09ed955dc,Fruta,Fresa,,Kilogramo,,,6000.0,02 FEB_ Análisis Estadístico Informe de Monitoreo Precios Bogotá 2026.xlsx
2026-02,2026-02-05,3b975a67-e807-4731-afbe-408cb55d6860,Mercafresc,4.611175,-74.2003216666667,Carrera 81 # 73g-03 sur,Campo,Tiendas de Barrio,Abierto - Atiende,5f467fb0-d869-433f-844f-cda5bb63d0d9,Fruta,Lulo,,Kilogramo,,,5000.0,02 FEB_ Análisis Estadístico Informe de Monitoreo Precios Bogotá 2026.xlsx
2026-02,2026-02-05,3b975a67-e807-4731-afbe-408cb55d6860,Mercafresc,4.611175,-74.2003216666667,Carrera 81 # 73g-03 sur,Campo,Tiendas de Barrio,Abierto - Atiende,55fd2f4e-a92f-49e5-b94c-64abd710b6aa,Huevos,Huevo AA,,Unidad,,,550.0,02 FEB_ Análisis Estadístico Informe de Monitoreo Precios Bogotá 2026.xlsx
2026-02,2026-02-05,3b975a67-e807-4731-afbe-408cb55d6860,Mercafresc,4.611175,-74.2003216666667,Carrera 81 # 73g-03 sur,Campo,Tiendas de Barrio,Abierto - Atiende,7bfb1098-f031-431e-9bfe-ec8bce0b8578,Lacteos,Leche Líquida Entera,,Litro,,,4300.0,02 FEB_ Análisis Estadístico Informe de Monitoreo Precios Bogotá 2026.xlsx
2026-02,2026-02-05,3b975a67-e807-4731-afbe-408cb55d6860,Mercafresc,4.611175,-74.2003216666667,Carrera 81 # 73g-03 sur,Campo,Tiendas de Barrio,Abierto - Atiende,14aa308e-e302-409c-943a-ec6de83dbce6,Tuberculos y Platanos,Papa Pastusa Sin Lavar,,Kilogramo,,,2400.0,02 FEB_ Análisis Estadístico Informe de Monitoreo Precios Bogotá 2026.xlsx
2026-02,2026-02-05,3b975a67-e807-4731-afbe-408cb55d6860,Mercafresc,4.611175,-74.2003216666667,Carrera 81 # 73g-03 sur,Campo,Tiendas de Barrio,Abierto - Atiende,c20ae956-fab2-46f2-8f64-6d8378a4680e,Tuberculos y Platanos,Plátano Hartón,,Kilogramo,,,5000.0,02 FEB_ Análisis Estadístico Informe de Monitoreo Precios Bogotá 2026.xlsx
